year,date,plot,n.mls,avmls,sdmls,n.n,avno3,sdno3,avnh4,sdnh4
1989,1989-06-13,PC,5,28.2,15.8,4,0,0,0.01,0.004
1989,1989-06-13,PH,5,28.9,9.5,5,1.268,1.801,0.001,0.001
1989,1989-06-13,PL,5,38.6,2.2,5,0,0,0,0
1989,1989-06-13,PNS,5,38.4,1.5,5,0,0,0,0
1989,1989-07-12,HC,5,8.4,11.2,2,0,0,1.91,2.701
1989,1989-07-12,HH,5,27.4,2.1,5,0.014,0.02,0.292,0.616
1989,1989-07-12,HL,5,16.2,11.4,4,0.07,0.138,1.06,1.839
1989,1989-07-12,HNS,5,2.6,5.8,1,0,0,0,0
1989,1989-07-12,PC,5,18.2,5.9,5,0,0,0.004,0.008
1989,1989-07-12,PH,5,10.2,7,4,0.706,0.841,0.06,0.117
1989,1989-07-12,PL,5,12,10.3,4,0.319,0.359,0.442,0.492
1989,1989-07-12,PNS,5,20.2,6.4,5,0,0.001,0.022,0.043
1989,1989-08-15,HC,5,35,5.4,5,0.004,0.009,0.029,0.039
1989,1989-08-15,HH,5,24.1,16.3,4,0.093,0.098,0.114,0.11
1989,1989-08-15,HL,5,18.9,12.9,4,0.02,0.024,0.03,0.021
1989,1989-08-15,HNS,5,23.2,7.3,5,0.079,0.056,0.079,0.051
1989,1989-08-15,PC,5,26,8.5,5,0.02,0.044,0.043,0.046
1989,1989-08-15,PH,5,30.8,7,5,0.75,1.07,0.018,0.017
1989,1989-08-15,PL,5,23.6,13.8,4,0.019,0.037,0.026,0.042
1989,1989-08-15,PNS,5,30.7,5.8,5,0.043,0.097,0.004,0.001
1989,1989-09-08,HC,5,0.8,1.8,1,0.197,0.197,0.01,0.01
1989,1989-09-08,HH,4,3.8,7.5,2,0.205,0.015,0.097,0.003
1989,1989-09-08,HL,5,2.6,3.6,2,0.27,0.139,0.078,0.053
1989,1989-09-08,HNS,5,3.2,7.2,1,0.338,0.338,0.247,0.247
1989,1989-09-08,PC,5,1.2,2.7,1,0.128,0.128,0.043,0.043
1989,1989-09-08,PH,5,0,0,0,NA,NA,NA,NA
1989,1989-09-08,PL,5,2.8,6.3,1,0.143,0.143,0.1,0.1
1989,1989-09-08,PNS,5,3.8,8.5,1,0.057,0.057,0.012,0.012
1989,1989-10-11,HC,1,30,NA,1,0.111,0.111,0.038,0.038
1989,1989-10-11,HH,1,34,NA,1,0,0,0.019,0.019
1989,1989-10-11,HL,1,30,NA,1,0.003,0.003,0.012,0.012
1989,1989-10-11,HNS,1,32,NA,1,0,0,0.025,0.025
1989,1989-10-11,PC,1,5,NA,1,0.264,0.264,0.323,0.323
1989,1989-10-11,PH,1,35,NA,1,0.629,0.629,0.015,0.015
1989,1989-10-11,PL,1,40,NA,1,0.002,0.002,0.016,0.016
1989,1989-10-11,PNS,1,29,NA,1,0,0,0.01,0.01
1989,1989-11-14,HC,4,28.8,8.4,4,0,0,0.01,0.011
1989,1989-11-14,HH,5,29.2,16.1,4,0.02,0.041,0.01,0.01
1989,1989-11-14,HL,5,18.8,15.3,3,0.047,0.081,0.01,0.016
1989,1989-11-14,HNS,5,30,6.7,5,0,0,0.001,0.001
1989,1989-11-14,PC,5,19.6,11.4,4,0,0,0.027,0.024
1989,1989-11-14,PH,5,27.8,2.6,5,2.3,2.084,0.02,0.025
1989,1989-11-14,PL,5,24,13.6,4,0.007,0.013,0.01,0.004
1989,1989-11-14,PNS,5,23.2,13.1,4,0,0,0.012,0.012
1990,1990-04-10,HC,5,24,4.8,5,0,0,0,0
1990,1990-04-10,HH,5,25.2,6.6,5,0,0,0,0
1990,1990-04-10,HL,5,26.2,2.3,5,0,0,0,0
1990,1990-04-10,HNS,4,19.8,6.7,5,0,0,0.023,0.051
1990,1990-04-10,PC,5,13.4,13.9,3,0,0,0,0
1990,1990-04-10,PH,5,16.4,10.4,4,6.704,8.551,0,0
1990,1990-04-10,PL,5,22.4,14.2,4,0,0,0.03,0.06
1990,1990-04-10,PNS,4,23.3,9.9,4,0.05,0.1,0.038,0.076
1990,1990-05-08,HC,5,25.6,3.4,5,0,0,0,0
1990,1990-05-08,HH,5,23.2,11.9,4,0,0,0,0
1990,1990-05-08,HL,5,25.2,1.8,5,0,0,0,0
1990,1990-05-08,HNS,5,23.2,6,5,0,0,0,0
1990,1990-05-08,PC,5,16.6,9.5,5,0,0,0,0
1990,1990-05-08,PH,5,19.6,9.3,5,5.757,7.829,0,0
1990,1990-05-08,PL,5,31.2,1.9,5,0.061,0.136,0,0
1990,1990-05-08,PNS,5,20.8,13.9,4,0,0,0,0
1990,1990-06-05,HC,4,27.3,3.1,5,0.052,0.087,0.028,0.062
1990,1990-06-05,HH,5,17.8,14.6,3,0.312,0.541,0.269,0.466
1990,1990-06-05,HL,5,12.8,14.4,2,0,0,0,0
1990,1990-06-05,HNS,5,27.2,2.9,5,0,0,0,0
1990,1990-06-05,PC,5,23.4,6.3,5,0.049,0.11,0.066,0.147
1990,1990-06-05,PH,5,25,6.3,5,5.243,8.826,0,0
1990,1990-06-05,PL,5,27.4,3.6,5,0,0,0,0
1990,1990-06-05,PNS,5,25.6,4.6,5,0,0,0,0
1990,1990-06-19,HC,5,21.4,11.8,5,0,0,0.018,0.041
1990,1990-06-19,HH,5,31,5.5,5,0.063,0.14,0.057,0.128
1990,1990-06-19,HL,4,25.3,14.7,4,0,0,0,0
1990,1990-06-19,HNS,5,17.4,11.7,5,0.133,0.297,0.083,0.186
1990,1990-06-19,PC,4,16.8,6.4,5,0.058,0.13,0.021,0.046
1990,1990-06-19,PH,4,16.5,12.5,3,7.278,12.284,0,0
1990,1990-06-19,PL,5,26.8,6.1,5,0,0,0.025,0.055
1990,1990-06-19,PNS,5,14.8,13.1,3,0,0,0.038,0.066
1990,1990-07-03,HC,5,5,8.2,2,0.088,0.124,0.058,0.081
1990,1990-07-03,HH,5,25.2,10.6,5,0.061,0.136,0.036,0.08
1990,1990-07-03,HL,5,13.4,8.1,5,0.044,0.098,0.026,0.059
1990,1990-07-03,HNS,5,6.2,8.5,2,0,0,0,0
1990,1990-07-03,PC,5,4.6,4,4,0,0,0,0
1990,1990-07-03,PH,5,0.8,1.1,0,NA,NA,NA,NA
1990,1990-07-03,PL,5,7.2,6.2,3,0,0,0,0
1990,1990-07-03,PNS,5,9.8,9,2,0,0,0,0
1990,1990-08-08,HC,5,21.4,12.8,4,0,0,0.04,0.08
1990,1990-08-08,HH,5,10.2,9.3,3,0,0,0,0
1990,1990-08-08,HL,5,5.6,12.5,1,0.874,0.874,0,0
1990,1990-08-08,HNS,5,17.2,10.3,4,0.038,0.076,0,0
1990,1990-08-08,PC,5,9.8,11.3,3,0,0,0.05,0.087
1990,1990-08-08,PH,5,5.4,7.8,2,2.598,0.717,3.101,0.732
1990,1990-08-08,PL,5,8.2,11.4,3,0.053,0.092,0,0
1990,1990-08-08,PNS,5,2.8,6.3,1,0.123,0.123,0.139,0.139
1990,1990-09-05,HC,5,15.8,7.2,5,0,0,0.033,0.073
1990,1990-09-05,HH,5,12.4,9.4,4,0.225,0.177,0.215,0.164
1990,1990-09-05,HL,5,10.2,6.9,4,0.25,0.31,0.259,0.304
1990,1990-09-05,HNS,5,16.6,7.8,5,0.025,0.055,0.043,0.097
1990,1990-09-05,PC,5,10.6,10.3,4,0.032,0.063,0.175,0.191
1990,1990-09-05,PH,5,7.4,7.6,2,0.344,0.486,0.219,0.056
1990,1990-09-05,PL,5,20,2.9,5,0.04,0.089,0.062,0.14
1990,1990-09-05,PNS,5,3,5.2,1,0,0,0,0
1990,1990-10-23,HC,5,30.6,3.5,5,0,0,0,0
1990,1990-10-23,HH,5,15.2,16.7,2,0,0,0,0
1990,1990-10-23,HL,5,17.4,14.6,4,0,0,0,0
1990,1990-10-23,HNS,5,26.6,5.2,5,0,0,0,0
1990,1990-10-23,PC,5,14,11.8,4,0,0,0.024,0.047
1990,1990-10-23,PH,4,24,10.8,4,3.334,4.401,0.184,0.15
1990,1990-10-23,PL,5,24.2,2.4,5,0,0,0,0
1990,1990-10-23,PNS,5,13.6,11.5,3,0,0,0,0
1990,1990-10-30,HC,5,32.4,4.1,5,0,0,0,0
1990,1990-10-30,HH,5,23.6,21.7,3,0,0,0,0
1990,1990-10-30,HL,5,22,20.2,3,0,0,0,0
1990,1990-10-30,HNS,5,33,7.4,5,0,0,0,0
1990,1990-10-30,PC,5,21,12.3,4,0,0,0,0
1990,1990-10-30,PH,4,26.8,10,4,4.441,7.946,0,0
1990,1990-10-30,PL,5,30.2,3,5,0,0,0,0
1990,1990-10-30,PNS,5,18,12.1,4,0,0,0,0
1990,1990-11-13,HC,3,23.7,5.5,3,0,0,0,0
1990,1990-11-13,HH,3,29.7,3.5,3,0,0,0,0
1990,1990-11-13,HL,4,24.5,14,3,0,0,0,0
1990,1990-11-13,HNS,4,28.5,6.8,4,0,0,0,0
1990,1990-11-13,PC,4,10,12.2,2,0,0,0,0
1990,1990-11-13,PH,4,21.3,7.8,4,4.004,7.867,0,0
1990,1990-11-13,PL,5,27,2,5,0,0,0,0
1990,1990-11-13,PNS,5,18.4,7.6,4,0.057,0.039,0,0
1991,1991-04-12,HC,5,27.8,14.7,5,0,0,0.017,0.037
1991,1991-04-12,HH,5,20.6,18.9,3,0,0,0,0
1991,1991-04-12,HL,5,23.4,17.7,3,0,0,0,0
1991,1991-04-12,HNS,5,14.4,19.8,2,0,0,0,0
1991,1991-04-12,PC,5,20.2,8.6,4,0,0,0,0
1991,1991-04-12,PH,5,14.4,13.4,3,0.608,1.053,0,0
1991,1991-04-12,PL,5,25.2,2.2,5,0,0,0,0
1991,1991-04-12,PNS,5,16.8,11.4,4,0,0,0,0
1991,1991-05-23,HC,5,19.7,3.2,5,0,0,0,0
1991,1991-05-23,HH,5,11,10.6,3,0,0,0.065,0.112
1991,1991-05-23,HL,5,20.5,1.8,5,0,0,0,0
1991,1991-05-23,HNS,5,7.7,10.6,2,0,0,0,0
1991,1991-05-23,PC,5,14.8,8.4,4,0.033,0.065,0,0
1991,1991-05-23,PH,5,10.2,9.7,3,3.94,6.824,1.312,2.272
1991,1991-05-23,PL,5,18.4,1.5,5,0.061,0.136,0,0
1991,1991-05-23,PNS,5,8.5,9.4,3,0.117,0.203,0,0
1991,1991-05-30,HC,5,22,0.7,5,0,0,0,0
1991,1991-05-30,HH,5,17,9.2,4,0.03,0.06,0,0
1991,1991-05-30,HL,5,20.3,2.2,5,0,0,0,0
1991,1991-05-30,HNS,5,8.1,11.2,2,0,0,0.045,0.063
1991,1991-05-30,PC,5,14.9,8.9,4,0.026,0.052,0,0
1991,1991-05-30,PH,5,12.2,10.8,3,2.432,4.212,1.021,1.769
1991,1991-05-30,PL,5,20.2,1.3,5,0.047,0.105,0,0
1991,1991-05-30,PNS,5,9.3,10.1,3,0.109,0.189,0,0
1991,1991-06-06,HC,5,20.1,3.4,5,0,0,0,0
1991,1991-06-06,HH,5,17.2,5.2,5,0.02,0.045,0.054,0.075
1991,1991-06-06,HL,5,13.5,10.5,3,0,0,0.178,0.308
1991,1991-06-06,HNS,5,10.5,10.2,3,0,0,0,0
1991,1991-06-06,PC,5,16.7,8.3,4,0,0,0,0
1991,1991-06-06,PH,5,11,9.9,3,1.844,3.029,0.703,1.114
1991,1991-06-06,PL,5,19.5,1.4,5,0,0,0,0
1991,1991-06-06,PNS,5,8.5,9.7,2,0,0,0,0
1991,1991-06-13,HC,5,14.9,6.9,5,0,0,0,0
1991,1991-06-13,HH,5,22.1,1.7,5,0,0,0,0
1991,1991-06-13,HL,5,18.7,2.4,5,0,0,0,0
1991,1991-06-13,HNS,5,8.4,9.1,3,0.117,0.203,0.028,0.049
1991,1991-06-13,PC,5,15,7.7,4,0,0,0,0
1991,1991-06-13,PH,5,9.4,7.1,4,3.696,4.466,0.497,0.808
1991,1991-06-13,PL,5,13.4,5.9,4,0,0,0,0
1991,1991-06-13,PNS,5,13.5,7,4,0,0,0,0
1991,1991-06-27,HC,5,4.8,6.7,3,0,0,0,0
1991,1991-06-27,HH,5,11.2,7.1,4,0,0,0,0
1991,1991-06-27,HL,5,7.9,6.1,3,0,0,0,0
1991,1991-06-27,HNS,5,6.2,7.4,2,0,0,0,0
1991,1991-06-27,PC,5,8.3,6,3,0,0,0,0
1991,1991-06-27,PH,5,0.9,1.5,0,NA,NA,NA,NA
1991,1991-06-27,PL,5,7.6,7,3,0,0,0,0
1991,1991-06-27,PNS,5,0.3,0.7,0,NA,NA,NA,NA
1991,1991-08-23,HC,5,33.4,6.9,5,0,0,0,0
1991,1991-08-23,HH,5,32.9,6.9,5,0.557,0.992,0.05,0.111
1991,1991-08-23,HL,5,32.1,8.2,4,0.333,0.667,0.21,0.42
1991,1991-08-23,HNS,5,30.7,7.7,5,0,0,0.45,0.935
1991,1991-08-23,PC,5,32.3,5.6,5,0.166,0.259,0.095,0.211
1991,1991-08-23,PH,5,27.8,15.5,4,4.2,4.932,1.159,1.973
1991,1991-08-23,PL,5,35.9,1.7,5,0.053,0.119,0,0
1991,1991-08-23,PNS,5,30.8,7.9,5,0.51,1.067,0,0
1991,1991-09-05,HC,5,24.6,9.9,5,0.022,0.049,0.048,0.108
1991,1991-09-05,HH,5,28.4,4.4,5,0.902,2.016,0,0
1991,1991-09-05,HL,5,17.3,15.8,3,3.318,5.748,1.229,2.128
1991,1991-09-05,HNS,5,21.6,7.6,5,0.037,0.083,0,0
1991,1991-09-05,PC,5,22.3,6,5,0.168,0.377,0,0
1991,1991-09-05,PH,5,23.6,7.7,5,12.249,12.89,2.675,2.586
1991,1991-09-05,PL,5,27.3,2.3,5,0,0,0,0
1991,1991-09-05,PNS,5,18.2,11.2,4,0.35,0.7,0,0
1991,1991-09-24,HC,5,29.2,9.1,5,0,0,0,0
1991,1991-09-24,HH,5,31,2.6,5,1.456,3.255,0,0
1991,1991-09-24,HL,5,17.2,16.7,3,0.083,0.144,0,0
1991,1991-09-24,HNS,5,29,5.8,5,0,0,0,0
1991,1991-09-24,PC,5,27,15.1,4,0,0,0,0
1991,1991-09-24,PH,5,12.4,8.1,3,5.011,6.175,0.216,0.373
1991,1991-09-24,PL,5,12.4,12.7,3,0,0,0,0
1991,1991-09-24,PNS,5,21.8,10.2,5,0,0,0,0
1991,1991-10-16,HC,0,NA,NA,3,0,0,0,0
1991,1991-10-16,HH,0,NA,NA,5,0,0,0,0
1991,1991-10-16,HL,0,NA,NA,4,0,0,0,0
1991,1991-10-16,HNS,0,NA,NA,4,0,0,0,0
1991,1991-10-16,PC,0,NA,NA,4,0,0,0.026,0.051
1991,1991-10-16,PH,0,NA,NA,4,14.268,17.142,0.027,0.055
1991,1991-10-16,PL,0,NA,NA,4,0.108,0.216,0,0
1991,1991-10-16,PNS,0,NA,NA,5,0,0,0,0
1991,1991-10-23,HC,5,32.4,5.9,5,0,0,0,0
1991,1991-10-23,HH,5,34,1.7,5,0,0,0,0
1991,1991-10-23,HL,5,26.4,14.7,5,0,0,0,0
1991,1991-10-23,HNS,5,28.2,5.4,5,0,0,0,0
1991,1991-10-23,PC,5,18.2,14.1,4,0,0,0,0
1991,1991-10-23,PH,5,26.6,5.8,5,12.254,16.502,0.059,0.131
1991,1991-10-23,PL,5,23,13.7,4,0,0,0,0
1991,1991-10-23,PNS,5,23.8,6.6,5,0,0,0,0
1991,1991-11-13,HC,0,NA,NA,4,0,0,0,0
1991,1991-11-13,HH,0,NA,NA,4,0.041,0.083,0,0
1991,1991-11-13,HL,0,NA,NA,5,0,0,0,0
1991,1991-11-13,HNS,0,NA,NA,5,0,0,0,0
1991,1991-11-13,PC,0,NA,NA,3,0,0,0,0
1991,1991-11-13,PH,0,NA,NA,4,11.668,14.183,0,0
1991,1991-11-13,PL,0,NA,NA,5,0,0,0,0
1991,1991-11-13,PNS,0,NA,NA,5,0,0,0,0
1992,1992-04-28,HC,4,9.5,6.7,3,0,0,0,0
1992,1992-04-28,HH,4,30.5,5.7,4,0.025,0.05,0,0
1992,1992-04-28,HL,5,16,9,4,0,0,0,0
1992,1992-04-28,HNS,5,17.4,8.6,5,0,0,0.039,0.086
1992,1992-04-28,PC,5,13.6,12.8,3,0,0,0.038,0.065
1992,1992-04-28,PH,5,23.8,2.9,5,7.511,7.177,0,0
1992,1992-04-28,PL,5,22.6,2.8,5,0,0,0,0
1992,1992-04-28,PNS,5,22.2,8,5,0,0,0,0
1992,1992-06-10,HC,0,NA,NA,2,0,0,0,0
1992,1992-06-10,HH,0,NA,NA,4,0.675,0.85,0.418,0.588
1992,1992-06-10,HL,0,NA,NA,2,0,0,0,0
1992,1992-06-10,HNS,0,NA,NA,5,0,0,0,0
1992,1992-06-10,PC,0,NA,NA,5,0,0,0,0
1992,1992-06-10,PH,0,NA,NA,4,8.142,8.176,0.051,0.102
1992,1992-06-10,PL,0,NA,NA,4,0.384,0.768,0.285,0.57
1992,1992-06-10,PNS,0,NA,NA,5,0.143,0.32,0.037,0.083
1992,1992-06-30,HC,4,7.4,8.3,2,0,0,0,0
1992,1992-06-30,HH,5,11.7,11.5,3,0,0,0,0
1992,1992-06-30,HL,5,11.2,11,3,0,0,0,0
1992,1992-06-30,HNS,5,8.4,11.6,2,0,0,0,0
1992,1992-06-30,PC,5,11.5,7.5,4,0,0,0,0
1992,1992-06-30,PH,5,7.8,10.9,3,3.773,2.541,0.508,0.539
1992,1992-06-30,PL,5,8.8,8.9,3,0,0,0,0
1992,1992-06-30,PNS,5,6,9.7,2,0,0,0,0
1992,1992-07-30,HC,4,2.3,3.3,2,0,0,0,0
1992,1992-07-30,HH,5,0,0,0,NA,NA,NA,NA
1992,1992-07-30,HL,5,1.8,4,1,6.413,6.413,0.955,0.955
1992,1992-07-30,HNS,5,2.8,6.3,1,7.54,7.54,3.107,3.107
1992,1992-07-30,PC,5,0,0,0,NA,NA,NA,NA
1992,1992-07-30,PH,5,4.6,10.3,1,3.211,3.211,0,0
1992,1992-07-30,PL,5,0.6,0.9,1,0,0,0,0
1992,1992-07-30,PNS,4,0.5,1,1,1.539,1.539,1.342,1.342
1992,1992-08-26,HC,0,NA,NA,4,0,0,0,0
1992,1992-08-26,HH,0,NA,NA,4,0.788,1.031,0.861,1
1992,1992-08-26,HL,0,NA,NA,3,0,0,0.212,0.367
1992,1992-08-26,HNS,0,NA,NA,4,0.35,0.291,0.387,0.127
1992,1992-08-26,PC,0,NA,NA,4,0.061,0.122,0.441,0.759
1992,1992-08-26,PH,0,NA,NA,3,18.567,10.027,16.492,8.139
1992,1992-08-26,PL,0,NA,NA,3,0.106,0.184,0.104,0.18
1992,1992-08-26,PNS,0,NA,NA,1,0.613,0.613,0.512,0.512
1992,1992-10-08,HC,5,6.2,6,3,0,0,0,0
1992,1992-10-08,HH,3,0,0,0,NA,NA,NA,NA
1992,1992-10-08,HL,5,5.4,6.3,2,0.139,0.197,0,0
1992,1992-10-08,HNS,5,7.5,11.5,2,0,0,0,0
1992,1992-10-08,PC,5,3.1,4.8,2,0,0,0,0
1992,1992-10-08,PH,5,6.4,10.3,2,11.42,15.885,0.91,1.287
1992,1992-10-08,PL,5,12.3,11.9,3,0,0,0,0
1992,1992-10-08,PNS,4,6.5,13,1,2.787,2.787,0,0
1992,1992-11-17,HC,5,8.8,12.1,2,0,0,0,0
1992,1992-11-17,HH,5,24.6,1.8,5,0.479,0.656,0.041,0.092
1992,1992-11-17,HL,5,14,11.9,5,0,0,0,0
1992,1992-11-17,HNS,5,20.8,3,5,0,0,0,0
1992,1992-11-17,PC,5,10.2,12.3,2,0,0,0,0
1992,1992-11-17,PH,5,11.8,11.1,3,8.348,7.836,0.085,0.147
1992,1992-11-17,PL,5,22.6,1.8,5,0,0,0,0
1992,1992-11-17,PNS,4,16,9.3,3,0,0,0,0
1993,1993-05-04,HC,3,12.7,2.5,3,0,0,0,0
1993,1993-05-04,HH,4,15,1.4,4,0.08,0.159,0.072,0.144
1993,1993-05-04,HL,5,12.6,2.5,5,0,0,0,0
1993,1993-05-04,HNS,4,13,6.1,4,0,0,0,0
1993,1993-05-04,PC,5,11.6,1.1,5,0,0,0,0
1993,1993-05-04,PH,5,9.8,5.9,4,2.609,2.562,0,0
1993,1993-05-04,PL,4,12.5,1.9,4,0,0,0,0
1993,1993-05-04,PNS,5,12,1,5,0.119,0.266,0,0
1993,1993-06-02,HC,5,9.2,6.6,4,0,0,0,0
1993,1993-06-02,HH,5,11.6,2.1,5,0,0,0,0
1993,1993-06-02,HL,5,7.8,5.1,5,0,0,0,0
1993,1993-06-02,HNS,5,5.8,5.4,3,0,0,0,0
1993,1993-06-02,PC,5,2.4,3.3,2,0,0,0.114,0.161
1993,1993-06-02,PH,5,2.6,5.8,1,2.764,NA,0.22,NA
1993,1993-06-02,PL,5,0,0,0,0,NA,NA,NA
1993,1993-06-02,PNS,5,2.4,4.3,2,0.118,0.167,0.182,0.258
1993,1993-08-12,HC,5,8.4,8.4,4,0,0,0,0
1993,1993-08-12,HH,5,4.4,4.8,3,0.764,0.383,0.357,0.311
1993,1993-08-12,HL,5,7.6,8.3,3,0,0,0,0
1993,1993-08-12,HNS,5,16.2,12.4,4,0,0,0,0
1993,1993-08-12,PC,5,3.4,7.6,1,0,NA,0,NA
1993,1993-08-12,PH,5,8,12.3,2,7.095,10.034,1.2,1.698
1993,1993-08-12,PL,5,8.4,9.5,3,6.286,9.943,1.085,1.704
1993,1993-08-12,PNS,5,5.6,12.5,1,0,NA,0,NA
1993,1993-08-24,HC,5,4.6,5.7,3,0,0,0.103,0.178
1993,1993-08-24,HH,5,0,0,0,NA,NA,NA,NA
1993,1993-08-24,HL,5,0.5,0.9,2,0,0,0.352,0.105
1993,1993-08-24,HNS,5,10.2,11.3,3,0,0,0,0
1993,1993-08-24,PC,5,2.2,4.9,1,0,NA,0,NA
1993,1993-08-24,PH,5,7.4,13,2,6.75,9.546,0.227,0.32
1993,1993-08-24,PL,5,11,10.3,3,6.337,10.975,0.118,0.204
1993,1993-08-24,PNS,5,1.8,4,1,0,NA,0,NA
1993,1993-09-17,HC,5,0,0,0,NA,NA,NA,NA
1993,1993-09-17,HH,5,0,0,0,NA,NA,NA,NA
1993,1993-09-17,HL,5,0,0,0,NA,NA,NA,NA
1993,1993-09-17,HNS,5,0,0,0,NA,NA,NA,NA
1993,1993-09-17,PC,5,4.4,9.8,1,0,NA,0,NA
1993,1993-09-17,PH,5,8.6,10.6,3,24.822,12.377,4.918,1.728
1993,1993-09-17,PL,5,0,0,0,NA,NA,NA,NA
1993,1993-09-17,PNS,5,0,0,0,NA,NA,NA,NA
1993,1993-09-28,HC,5,11.4,11.1,3,0,0,0,0
1993,1993-09-28,HH,5,0,0,0,NA,NA,NA,NA
1993,1993-09-28,HL,5,1,2.2,1,0,NA,0,NA
1993,1993-09-28,HNS,5,6.8,6.3,3,0,0,0,0
1993,1993-09-28,PC,5,4,8.9,1,0.584,NA,0,NA
1993,1993-09-28,PH,5,9.4,10.3,3,14.836,14.062,1.535,1.425
1993,1993-09-28,PL,5,13,11.9,3,3.841,6.134,0.558,0.966
1993,1993-09-28,PNS,5,4,8.9,1,0,NA,0,NA
1993,1993-10-29,HC,5,13.2,8.9,4,0,0,0,0
1993,1993-10-29,HH,5,13.4,3.8,5,0,0,0,0
1993,1993-10-29,HL,5,9.2,8.7,3,0,0,0,0
1993,1993-10-29,HNS,5,17.6,4.3,5,0,0,0.085,0.191
1993,1993-10-29,PC,5,5.8,6.2,3,0,0,0.146,0.253
1993,1993-10-29,PH,5,8.6,9.8,3,17.335,17.462,0,0
1993,1993-10-29,PL,5,17.8,5.7,5,1.491,3.334,0,0
1993,1993-10-29,PNS,5,3,6.7,1,0.353,NA,0,NA
1993,1993-11-16,HC,5,6.8,9.3,2,0,0,0,0
1993,1993-11-16,HH,5,14,8,4,0.579,1.159,0,0
1993,1993-11-16,HL,5,14.2,1.3,5,0,0,0.052,0.117
1993,1993-11-16,HNS,5,17.4,1.7,5,0,0,0,0
1993,1993-11-16,PC,5,9.1,6.2,4,0,0,0,0
1993,1993-11-16,PH,5,5,6.9,2,2.988,0.687,0,0
1993,1993-11-16,PL,5,13,7.5,4,2.625,5.25,0,0
1993,1993-11-16,PNS,5,8,7.3,3,0.243,0.421,0,0
1994,1994-05-03,HC,5,13.8,12.6,3,0,0,0,0
1994,1994-05-03,HH,5,23,0,5,0.026,0.059,0.022,0.048
1994,1994-05-03,HL,5,18.4,10.3,4,0,0,0,0
1994,1994-05-03,HNS,5,18.4,10.3,4,0,0,0,0
1994,1994-05-03,PC,5,18,0,5,0,0,0,0
1994,1994-05-03,PH,5,18,0,5,3.302,2.171,0.037,0.083
1994,1994-05-03,PL,5,14.4,8,4,0.047,0.094,0,0
1994,1994-05-03,PNS,5,10.8,9.9,3,0,0,0,0
1994,1994-06-01,HC,5,5.7,8.4,2,0,0,0,0
1994,1994-06-01,HH,5,11.2,7.4,4,0.102,0.203,0.067,0.133
1994,1994-06-01,HL,5,14.6,8.5,4,0.074,0.085,0.064,0.074
1994,1994-06-01,HNS,5,10.6,3.1,5,0.121,0.207,0.059,0.132
