year,jday,plot,LAI,SE
1999,133,H1,2.87,0.12
1999,133,H2,4.22,0.02
1999,133,H3,0.97,0.05
1999,133,H4,0.33,0.03
1999,133,H5,4.3,0.06
1999,133,X1,2.98,0.08
1999,133,X2,3.76,0.14
1999,133,X3,4.05,0.06
1999,133,X4,3.95,0.08
1999,133,X5,3.18,0.2
1999,133,X6,3.22,0.15
1999,138,A1,2.6,0.02
1999,138,A2,2.59,0.03
1999,138,A3,2.89,0.08
1999,138,A4,3.51,0.15
1999,138,A5,2.66,0.04
1999,138,B1,2.76,0.12
1999,138,B2,2.8,0.08
1999,138,B3,2.91,0.05
