genus,species,subclass,family,alien,main.habitat,detailed.habitat,life.form,ldetailed.life.form,sum.2007,status,listed.for.hf,verified,reason.not.listed,current,historical,synonyms,common.name,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,grout,simes
Adiantum,pedatum,Pteridophyte,Adiantaceae,0,F,FR,F,F,2,U,1,1,NA,1,1,NA,Common Maidenhair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Aegopodium,podagraria,Rosidae,Apiaceae,1,O,OP,H,HL,4,U,1,1,NA,1,0,NA,Goutweed,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Agalinis,paupercula,Asteridae,Scrophulariaceae,0,W,Wp,H,HL,0,M,1,1,NA,0,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agalinis,purpurea,Asteridae,Scrophulariaceae,0,W,Wp,H,HL,1,U,1,1,NA,1,1,NA,Purple Gerardia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Agrimonia,gryposepala,Rosidae,Rosaceae,0,F,F,H,HL,3,U,1,1,NA,1,1,NA,Common Agrimony,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Agrostis,canina,Commelinidae,Poaceae,1,O,OD,G,GL,0,M,1,1,NA,0,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agrostis,capillaris,Commelinidae,Poaceae,1,O,OP RP,G,GL,7,O,1,1,NA,1,1,A. tenuis,Rhode Island Bent,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0
Agrostis,gigantea,Commelinidae,Poaceae,1,O,OP,G,GL,6,O,1,1,NA,1,0,A. alba,Redtop,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Agrostis,hyemalis s.l.,Commelinidae,Poaceae,0,W,WP,G,GL,4,U,1,1,NA,1,1,A. hyemalis var. scabra,Ticklegrass,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Agrostis,perennans,Commelinidae,Poaceae,0,F,F,G,GL,8,O,1,1,NA,1,1,NA,Bentgrass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1
Agrostis,stolonifera,Commelinidae,Poaceae,1,W,WS,G,GL,3,U,1,1,NA,1,0,NA,Creeping Bentgrass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Ajuga,reptans,Asteridae,Lamiaceae,1,O,OG,H,HL,3,U,1,1,NA,1,0,NA,Carpet Bugleweed,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Alisma,plantago-aquatica,Alismatidae,Alismataceae,0,W,WP,H,HL,1,U,1,1,NA,1,0,NA,Water-Plantain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Alliaria,petiolata,Dilleniidae,Brassicaceae,1,O,RW,H,HA,7,O,1,1,NA,1,1,A. officinalis,Garlic Mustard,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
Alnus,hirsuta?,Hamameliidae,Betulaceae,1,P,P,T,S,1,U,0,1,NDN,1,0,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alnus,incana,Hamameliidae,Betulaceae,0,W,WP WB WF,S,S,11,LC,1,1,NA,1,1,NA,Speckled Alder,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
Alnus,serrulata,Hamameliidae,Betulaceae,0,W,WP ,S,S,0,M,0,1,TAX,0,1,A. rubra in Smith,Smooth Alder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alopecurus,pratensis,Commelinidae,Poaceae,1,O,NA,G,GL,0,M,1,1,NA,0,1,NA,Meadow Foxtail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amaranthus,retroflexus,Caryophyllidae,Amaranthaceae,0,O,OD,H,HA,2,U,1,1,NA,1,0,NA,Pigweed,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambrosia,artemisiifolia,Asteridae,Asteraceae,0,O,OD PR,H,HL,5,U,1,1,NA,1,1,NA,Ragweed,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
Amelanchier,canadensis,Rosidae,Rosaceae,0,F,F,T,T,25,C,1,1,NA,1,1,NA,Canada Shadbush,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Amelanchier,laevis,Rosidae,Rosaceae,0,F,F,T,T,5,U,1,1,NA,1,1,NA,Smooth Shadbush,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
Amelanchier,sp.,Rosidae,Rosaceae,0,F,FO,S,S,27,C,0,1,GEN,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1
Amelanchier,stolonifera s.l.,Rosidae,Rosaceae,0,O,NA,S,SE,0,M,1,0,NA,0,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ampelopsis ,brevipedunculata,Rosidae,Vitaceae,1,O,OG,V,V,1,U,0,1,NDN,1,0,NA,Porcelain-berry,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amphicarpaea,bracteata,Rosidae,Fabaceae,0,F,NA,H,HL,17,F,1,1,NA,1,1,NA,Hog Peanut,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1
Anaphalis,margaritacea,Asteridae,Asteraceae,0,O,OB,H,HL,2,U,1,1,NA,1,1,NA,Pearly Everlasting,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Andromeda,glaucophylla,Dilleniidae,Ericaceae,0,W,WB,S,SE,1,U,1,1,NA,1,0,A. polifolia,Bog Rosemary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Andropogon,gerardii,Commelinidae,Poaceae,0,O,RP,G,GL,3,U,1,1,NA,1,1,NA,Turkeyfoot,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Anemone,americana,Magnoliidae,Ranunculaceae,0,F,FR,H,HE,3,U,1,1,NA,1,1,Hepatica americana,Round-lobed Hepatica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Anemone,quinquefolia,Magnoliidae,Ranunculaceae,0,F,F,H,HS,10,O,1,1,NA,1,1,NA,Wood Anemone,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1
Anemone,virginiana,Magnoliidae,Ranunculaceae,0,O,FR,H,HL,1,U,1,1,NA,1,1,NA,Thimbleweed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Angelica,atropurpurea,Rosidae,Apiaceae,0,W,WS,H,HL,1,U,1,1,NA,1,0,NA,Angelica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antennaria,neglecta,Asteridae,Asteraceae,0,O,OP RW,H,HS,1,U,1,1,NA,1,1,NA,Small Pussy-toes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antennaria,plantaginifolia,Asteridae,Asteraceae,0,F,FR,H,HS,4,U,1,1,NA,1,1,NA,Plantain-leaved Pussy-toes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Anthemis,cotula,Asteridae,Asteraceae,1,O,OD RP,H,HL,1,U,1,1,NA,1,1,NA,Stinking Chamomile,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthoxanthum,odoratum,Commelinidae,Poaceae,1,O,OP,G,GS,8,O,1,1,NA,1,1,NA,Sweet Vernal Grass,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
Apios,americana,Rosidae,Fabaceae,0,F,RP,H,HL,5,U,1,1,NA,1,1,NA,Groundnut,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Apocynum,androsaemifolium,Asteridae,Apocynaceae,0,O,RP,H,HL,12,F,1,1,NA,1,1,NA,Spreading Dogbane,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1
Aquilegia,canadensis,Magnoliidae,Ranunculaceae,0,F,FR,H,HS,3,U,1,1,NA,1,1,NA,Wild Columbine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Aquilegia,vulgaris,Magnoliidae,Ranunculaceae,1,F,RW,H,HS,1,U,1,1,NA,1,0,NA,European Columbine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Arabis,glabra,Dilleniidae,Brassicaceae,1,O,NA,H,HL,1,U,1,1,NA,1,0,NA,Tower Mustard,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aralia,hispida,Rosidae,Araliaceae,0,O,OB,H,HL,5,U,1,1,NA,1,1,NA,Bristly Sarsaparilla,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0
Aralia,nudicaulis,Rosidae,Araliaceae,0,F,F,H,HS,32,C,1,1,NA,1,1,NA,Wild Sarsaparilla,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Aralia,racemosa,Rosidae,Araliaceae,0,F,FR,H,HL,2,U,1,1,NA,1,1,NA,Spikenard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Aralia,sp.,Rosidae,Araliaceae,1,F,F,T,T,1,U,1,1,NA,1,1,NA,Hercules Club,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arceuthobium,pusillum,Rosidae,Loranthaceae,0,W,WB,S,SDE,1,U,1,1,NA,1,0,NA,Dwarf Mistletoe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Arctium,minus,Asteridae,Asteraceae,1,O,OD,H,HL,2,U,1,1,NA,1,0,NA,Common Burdock,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Arisaema,triphyllum,Alismatidae,Araceae,0,W,WF,H,HS,31,C,1,1,NA,1,1,NA,Jack-in-the-pulpit,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Armoracia,rusticana,Dilleniidae,Brassicaceae,1,O,OP,H,HL,1,U,1,1,NA,1,1,NA,Horseradish,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aronia,arbutifolia,Rosidae,Rosaceae,0,F,F,S,S,7,O,1,1,NA,1,1,NA,Red Chokeberry,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
Aronia,melanocarpa,Rosidae,Rosaceae,0,F,F WB,S,S,11,F,1,1,NA,1,1,NA,Purple Chokeberry,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0
Aronia,sp.,Rosidae,Rosaceae,0,NA,NA,S,S,4,U,0,1,GEN,1,1,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Arrhenatherum,elatius,Commelinidae,Poaceae,1,O,OD,G,GL,4,U,1,1,NA,1,1,NA,Tall Oatgrass,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Artemisia,vulgaris,Asteridae,Asteraceae,1,O,OD RP,H,HL,3,U,1,1,NA,1,0,NA,Mugwort,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asarum,canadense,Magnoliidae,Aristolochiaceae,0,F,FR,H,HS,0,M,1,1,NA,0,1,NA,Wild Ginger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asclepias,exaltata,Asteridae,Asclepiadaceae,0,F,F,H,HL,5,U,1,1,NA,1,1,NA,Poke Milkweed,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Asclepias,incarnata,Asteridae,Asclepiadaceae,0,W,WP,H,HL,2,U,1,1,NA,1,1,NA,Swamp Milkweed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Asclepias,syriaca,Asteridae,Asclepiadaceae,0,O,OP,H,HL,7,O,1,1,NA,1,1,NA,Common Milkweed,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
Asplenium,platyneuron,Pteridophyte,Aspleniaceae,0,F,FR,F,FE,1,U,1,1,NA,1,1,NA,Ebony Splenwort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asplenium,trichomanes,Pteridophyte,Aspleniaceae,0,F,FR,F,FE,1,U,1,1,NA,1,0,NA,Maidenhair Spleenwoirt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Aster,acuminatus,Asteridae,Asteraceae,0,F,F,H,HL,28,C,1,1,NA,1,1,NA,Acuminate Aster,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1
Aster,cordifolius,Asteridae,Asteraceae,0,F,FR,H,HL,3,U,1,1,NA,1,0,NA,Heart-leaved Aster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Aster,divaricatus,Asteridae,Asteraceae,0,F,F,H,HL,31,C,1,1,NA,1,1,NA,White Wood Aster,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
Aster,ericoides,Asteridae,Asteraceae,0,O,OP OD,H,HL,0,M,1,1,NA,0,1,NA,Heath Aster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aster,fragilis,Asteridae,Asteraceae,0,O,RW,H,HL,9,O,1,1,NA,1,1,A. vimineus, ,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0
Aster,laevis,Asteridae,Asteraceae,0,O,OP RW,H,HL,6,O,1,1,NA,1,1,NA,Smooth Blue Aster,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
Aster,lateriflorus,Asteridae,Asteraceae,0,O,RW,H,HL,15,F,1,1,NA,1,1,NA,Calico Aster,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0
Aster,linariifolius,Asteridae,Asteraceae,0,O,OB ,H,HL,1,U,1,1,NA,1,1,NA,Linear-leaved Aster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Aster,macrophyllus,Asteridae,Asteraceae,0,F,FO ,H,HL,5,U,1,1,NA,1,1,NA,Large-leaved Aster,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
Aster,nemoralis,Asteridae,Asteraceae,0,W ,WB,H,HL,1,U,1,1,NA,1,0,NA,Bog Aster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Aster,novae-angliae,Asteridae,Asteraceae,0,O,OP,H,HL,1,U,1,1,NA,1,1,NA,New England Aster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Aster,novi-belgii,Asteridae,Asteraceae,0,W,WP WS,H,HL,12,F,1,1,NA,1,1,NA,New York Aster,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
Aster,paternus,Asteridae,Asteraceae,0,F,FO,H,HL,0,M,1,1,NA,0,1,Sericocarpus p.,Flat-topped Aster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aster,pilosus,Asteridae,Asteraceae,0,O,OP,H,HL,0,M,1,1,NA,0,1,NA,Pilose Aster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aster,puniceus,Asteridae,Asteraceae,0,W,WS WF ,H,HL,9,O,1,1,NA,1,1,NA,Pumice Aster,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
Aster,umbellatus,Asteridae,Asteraceae,0,W,WS WF WO,H,HL,12,F,1,1,NA,1,1,NA,Umbellate Aster,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
Aster,undulatus,Asteridae,Asteraceae,0,F,FO OP,H,HL,4,U,1,1,NA,1,1,NA,Wavy-leaf Aster,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Athyrium,filix-femina,Pteridophyte,Aspleniaceae,0,F,F OG RW,F,F,24,C,1,1,NA,1,1,A. angustum,Lady Fern,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
Aureolaria,pedicularia,Asteridae,Scrophulariaceae,0,F,FR,H,HL,1,U,1,1,NA,1,0,NA,Cutleaf False-foxglove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aureolaria,virginica,Asteridae,Scrophulariaceae,0,F,FR,H,HL,1,U,1,1,NA,1,0,NA,Downy False-Foxglove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Barbarea,vulgaris,Dilleniidae,Brassicaceae,1,O,OD OP,H,HS,2,U,1,1,NA,1,1,NA,Wintercress,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bartonia,virginica,Asteridae,Gentianaceae,0,F,NA,H,HL,3,U,1,1,NA,1,1,NA,Bartonia,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Berberis,thunbergii,Magnoliidae,Berberidaceae,1,F,F,S,S,14,F,1,1,NA,1,0,NA,Japanese Barberry,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1
Berberis,vulgaris,Magnoliidae,Berberidaceae,1,F O,F O,S,S,0,M,1,0,NA,0,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Betula,alleghaniensis,Hamameliidae,Betulaceae,0,F,F,T,T,27,C,1,1,NA,1,1,B. lutea,Yellow Birch,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
Betula,lenta,Hamameliidae,Betulaceae,0,F,F,T,T,26,C,1,1,NA,1,1,NA,Black Birch,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1
Betula,papyrifera,Hamameliidae,Betulaceae,0,F,F,T,T,27,C,1,1,NA,1,1,NA,Heart-leaved Paper Birch,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
Betula,populifolia,Hamameliidae,Betulaceae,0,F,F,T,T,14,F,1,1,NA,1,1,NA,Gray Birch,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0
Bidens,cernuus,Asteridae,Asteraceae,0,W,WP WO,H,HA,8,O,1,1,NA,1,1,NA,Nodding Beggar's-ticks,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1
Bidens,connatus,Asteridae,Asteraceae,0,W,WO WP WF,H,HA,8,O,1,1,NA,1,0,B. tripartitus,Beggar's-ticks,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
Bidens,frondosus,Asteridae,Asteraceae,0,W,WO WP,H,HA,15,F,1,1,NA,1,1,NA,Beggar's-ticks,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1
Bidens,vulgatus,Asteridae,Asteraceae,0,O,RP,H,HA,1,U,1,1,NA,1,0,NA,Tall Beggar's-ticks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boehmeria,cylindrica,Hamameliidae,Urticaceae,0,W,WS,H,HA,5,U,1,1,NA,1,1,NA,False Nettle,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
