Time,Month,EcoregionName,EcoregionIndex,NumSites,ppt,airtemp,avgNPPtc,avgResp,avgNEE,Ndep,StreamN,
5, 8, eco314, 1, 1, 2.7, 20.2, 143.49, 71.57, -71.93, 0.09, 0, 
5, 9, eco314, 1, 1, 15.9, 15.1, 147.13, 128.32, -18.81, 0.09, 0.05, 
5, 10, eco314, 1, 1, 2.7, 8.2, 97.32, 81.38, -15.94, 0.09, 0, 
5, 11, eco314, 1, 1, 8.7, 0.6, 45.43, 51.04, 5.61, 0.09, 0, 
5, 12, eco314, 1, 1, 17.8, 0.3, 50.41, 50.15, -0.26, 0.09, 0, 
5, 1, eco314, 1, 1, 9.7, -3.7, 0.05, 1.24, 1.19, 0.09, 0, 
5, 2, eco314, 1, 1, 6.3, -6.5, 0.03, 1.08, 1.06, 0.09, 0, 
5, 3, eco314, 1, 1, 5.2, -1.4, 0.08, 1.51, 1.44, 0.09, 0, 
5, 4, eco314, 1, 1, 10.8, 4.7, 95.14, 71.63, -23.51, 0.09, 0.15, 
5, 5, eco314, 1, 1, 11.3, 11, 132.77, 103.85, -28.92, 0.09, 0.17, 
5, 6, eco314, 1, 1, 12.3, 18, 169.15, 152.1, -17.05, 0.09, 0.03, 
6, 7, eco314, 1, 1, 9.5, 19.5, 166.92, 138.33, -28.59, 0.09, 0, 
6, 8, eco314, 1, 1, 9.7, 18.7, 174.71, 136.84, -37.87, 0.09, 0, 
6, 9, eco314, 1, 1, 2.2, 14.4, 162.74, 101.06, -61.68, 0.09, 0, 
6, 10, eco314, 1, 1, 3.5, 7.8, 99.86, 78.76, -21.1, 0.09, 0, 
6, 11, eco314, 1, 1, 11.3, 0.9, 46.55, 51.36, 4.81, 0.09, 0, 
6, 12, eco314, 1, 1, 5.3, -2.4, 0.1, 1.33, 1.23, 0.09, 0, 
6, 1, eco314, 1, 1, 7.6, -6.8, 0.05, 1.05, 1.01, 0.09, 0, 
6, 2, eco314, 1, 1, 5.4, -4.1, 0.08, 1.28, 1.2, 0.09, 0, 
6, 3, eco314, 1, 1, 10.4, -0.6, 0.13, 1.61, 1.47, 0.09, 0, 
6, 4, eco314, 1, 1, 10.6, 5.3, 102.24, 75.29, -26.95, 0.09, 0.12, 
6, 5, eco314, 1, 1, 6.8, 11, 139.27, 104.74, -34.52, 0.09, 0.11, 
6, 6, eco314, 1, 1, 3.4, 17.8, 163.08, 106.49, -56.59, 0.09, 0, 
7, 7, eco314, 1, 1, 4.3, 19.8, 150.48, 96.57, -53.9, 0.09, 0, 
7, 8, eco314, 1, 1, 3.7, 20, 148.41, 93.47, -54.95, 0.09, 0, 
7, 9, eco314, 1, 1, 4.9, 15.7, 161.55, 125.36, -36.19, 0.09, 0, 
7, 10, eco314, 1, 1, 9.5, 7.8, 112.49, 80.31, -32.18, 0.09, 0, 
7, 11, eco314, 1, 1, 2.9, 1.9, 53.97, 55.93, 1.96, 0.09, 0, 
7, 12, eco314, 1, 1, 3.4, -0.6, 0.2, 1.51, 1.31, 0.09, 0, 
7, 1, eco314, 1, 1, 13.6, -3.3, 0.13, 1.32, 1.19, 0.09, 0, 
7, 2, eco314, 1, 1, 5.8, -2.4, 0.15, 1.43, 1.28, 0.09, 0, 
7, 3, eco314, 1, 1, 12.8, 0.4, 69.25, 55.25, -14, 0.09, 0, 
7, 4, eco314, 1, 1, 5.9, 6.9, 113.34, 81.53, -31.81, 0.09, 0.11, 
7, 5, eco314, 1, 1, 5.7, 14.3, 187.84, 126.14, -61.7, 0.09, 0.04, 
7, 6, eco314, 1, 1, 18.9, 16.4, 183.37, 136.47, -46.9, 0.09, 0.11, 
8, 7, eco314, 1, 1, 2.8, 22.1, 147.34, 68.87, -78.47, 0.09, 0, 
8, 8, eco314, 1, 1, 6.9, 20.2, 152.63, 126.63, -26, 0.09, 0, 
8, 9, eco314, 1, 1, 24.7, 17.1, 180.76, 147.37, -33.39, 0.09, 0.18, 
8, 10, eco314, 1, 1, 9.8, 7.5, 125.79, 76.98, -48.82, 0.09, 0, 
8, 11, eco314, 1, 1, 8.6, 5.6, 82.82, 68.77, -14.05, 0.09, 0, 
8, 12, eco314, 1, 1, 5.6, -2.7, 0.21, 1.29, 1.09, 0.09, 0, 
8, 1, eco314, 1, 1, 14.4, -5.5, 0.13, 1.13, 1, 0.09, 0, 
8, 2, eco314, 1, 1, 6.2, -3.8, 0.17, 1.29, 1.12, 0.09, 0, 
8, 3, eco314, 1, 1, 9, -0.6, 0.28, 1.6, 1.32, 0.09, 0, 
8, 4, eco314, 1, 1, 1.3, 6.3, 130.16, 79.54, -50.62, 0.09, 0.09, 
8, 5, eco314, 1, 1, 6.1, 12.9, 190.81, 117.18, -73.63, 0.09, 0.05, 
8, 6, eco314, 1, 1, 5.2, 19.9, 171.02, 130.6, -40.42, 0.09, 0, 
9, 7, eco314, 1, 1, 12.7, 18.4, 184.78, 144.94, -39.85, 0.09, 0, 
9, 8, eco314, 1, 1, 9.8, 18.3, 191.82, 133.25, -58.57, 0.09, 0, 
9, 9, eco314, 1, 1, 10, 14.8, 189.71, 122.63, -67.08, 0.09, 0, 
9, 10, eco314, 1, 1, 5.3, 8.8, 151.96, 82.35, -69.61, 0.09, 0, 
9, 11, eco314, 1, 1, 6.5, 2.6, 72.19, 56.71, -15.48, 0.09, 0, 
9, 12, eco314, 1, 1, 10.2, -6, 0.14, 1.06, 0.92, 0.09, 0, 
9, 1, eco314, 1, 1, 8.9, -7.3, 0.1, 1.01, 0.91, 0.09, 0, 
9, 2, eco314, 1, 1, 8.5, -3.5, 0.22, 1.31, 1.09, 0.09, 0, 
9, 3, eco314, 1, 1, 7.6, 3.1, 94.52, 63.97, -30.55, 0.09, 0.06, 
9, 4, eco314, 1, 1, 9.9, 5.5, 119.67, 72.71, -46.96, 0.09, 0.1, 
9, 5, eco314, 1, 1, 6.6, 12.2, 174.67, 108.52, -66.15, 0.09, 0.1, 
9, 6, eco314, 1, 1, 11.9, 16.8, 167.43, 137.09, -30.34, 0.09, 0, 
10, 7, eco314, 1, 1, 9.7, 18.5, 183.94, 135.81, -48.14, 0.09, 0, 
10, 8, eco314, 1, 1, 5.6, 20.8, 183.09, 112.3, -70.79, 0.09, 0, 
10, 9, eco314, 1, 1, 12.1, 15.6, 181, 128.24, -52.75, 0.09, 0, 
10, 10, eco314, 1, 1, 2, 10.2, 170.93, 87.94, -82.99, 0.09, 0, 
10, 11, eco314, 1, 1, 2.8, 6.9, 99.21, 72.08, -27.13, 0.09, 0, 
10, 12, eco314, 1, 1, 3.9, 1.5, 80.35, 51.17, -29.18, 0.09, 0, 
10, 1, eco314, 1, 1, 3.3, -5.8, 0.18, 1.05, 0.86, 0.09, 0, 
10, 2, eco314, 1, 1, 5.1, -4.5, 0.24, 1.17, 0.93, 0.09, 0, 
10, 3, eco314, 1, 1, 16.2, -2.3, 0.35, 1.38, 1.03, 0.09, 0, 
10, 4, eco314, 1, 1, 3.9, 6.2, 152.8, 76.1, -76.7, 0.09, 0, 
10, 5, eco314, 1, 1, 5.2, 13.7, 191.92, 118, -73.92, 0.09, 0.07, 
10, 6, eco314, 1, 1, 11.1, 18.3, 165.45, 146.07, -19.38, 0.09, 0, 
